,id,name,summary
0,4,Thief,"There is a rising tide of fear in The City. Hatred saturates every stone and whilst the rich prosper, the less fortunate face misery and repression. Ravaged with sickness and famine, they wait for something to change.
Into this shadowy world steps Garrett, THE master thief in Thief, a reinvention of a franchise that helped define an entire genre of games. This first-person adventure features intelligent design that allows players to take full control, with freedom to choose their path through the game's levels and how they approach and overcome each challenge."
1,18,Max Payne,"Max Payne, gritty ex-cop and titular hero of this third-person shooter, sets out on his own to take revenge on those who murdered his wife and child, only for the plot he's involved in to get deeper and deeper. As his guilt and trauma build, Payne finds himself in more and more impossibly unfavourable and astounding situations, which challenge his methods, his worldview, and even his existence."
2,79,Stubbs the Zombie in Rebel Without a Pulse,"The game is set in a fictional City of the Future in 1959. Stubbs, a zombie who'll tug at your heartstrings and tickle your funnybone even as he's tearing the living guts right out of your body. This former traveling salesman trades in his briefcase for your braincase as the leading man in Wideload's first game, Stubbs the Zombie in ""Rebel Without a Pulse"".

In this game, players take on the role of the rebel himself Stubbs, a wisecracking Zombie who takes on an ultra-modern city of the future using nothing but his own carcass and the weapons of his possessed enemies. The game's tongue-in-cheek humor, innovative combat and strong storyline keep Stubbs the Zombie's gameplay as bizarre and unpredictable as its namesake.

On his quest, Stubbs lurches his way through numerous large and visually captivating indoor/outdoor environments in and around the gleaming city of Punchbowl, PA, a city built during the Eisenhower administration to show off the ultra-futuristic technology of the 21st century. Stubbs' brain-eating adventure brings him through bustling shopping districts and verdant farmlands to battle mad scientists, rural militiamen and the world's deadliest barbershop quartet. His enemies have shotguns, tanks, and all manner of futuristic weaponry. All Stubbs has is his own rotting corpse, a distinct lack of pain or conscience, and the ability to turn foes into zombie allies.

What begins as one zombie's search for revenge quickly escalates into an all-out war between the living and the dead - but this time it's the zombie fighting for truth, justice and the redemption of true love. Yes, it's a love story too."
3,83,Baldur's Gate: Dark Alliance,"Baldur’s Gate™: Dark Alliance™ is a revolutionary action adventure with an epic tale of intrigue, fierce alliances, explosive spell effects and highly detailed creatures and environments. Baldur’s Gate™: Dark Alliance™ is a benchmark of technology and gameplay."
4,111,Amnesia: The Dark Descent,"Amnesia: The Dark Descent is a survival horror video game by Frictional Games. The game features a protagonist named Daniel exploring a dark and foreboding castle, while trying to maintain his sanity by avoiding monsters and other terrifying obstructions. The game was critically well received."
5,117,The Last Guardian,"In a strange and mystical land, a young boy discovers a mysterious creature with which he forms a deep, unbreakable bond. The unlikely pair must rely on each other to journey through towering, treacherous ruins filled with unknown dangers. Experience the journey of a lifetime in this touching, emotional story of friendship and trust."
6,120,Diablo III,"The game takes place in Sanctuary, the dark fantasy world of the Diablo series, twenty years after the events of Diablo II. Deckard Cain and his niece Leah are in the Tristram Cathedral investigating ancient texts regarding an ominous prophecy. Suddenly, a mysterious star falling from the sky strikes the Cathedral, creating a deep crater into which Deckard Cain disappears."
7,134,Devil May Cry,"Legend has it that 2000 years ago in the depths of hell, a demon rebelled against the devil, waging a one-man war in support of the human world.

In the present, Dante, a private investigator of the supernatural, realises that the devil is rallying to rise again against mankind. Deep within Dante's blood lies the power of ancient demons and as his power builds he transforms into a demon state where he can use his power against evil he encounters.

Commencing his battle against the demonic legions with just a sword and his twin pistols, Ebony and Ivory, Dante will soon come across more powerful weapons, such as a shotgun to aid him in his mission. However, to defeat the devil Dante must also discover special weapons possessing various elemental powers. When channelled correctly these weapons will allow Dante to call upon demonic energy and launch powerful attacks against a range of enemies."
8,135,Devil May Cry 2,"Dante is back! Prepare for the next, stylish chapter of Capcom's ultimate action thriller, Devil May Cry! Dante, the mysterious half-man, half-demon action hero is back to battle the legions of the underworld. Sporting trash-talking attitude and rock star good looks, Dante launches into a new adventure with twice the environments, twice the graphic sizzle and twice the gameplay of the original!"
9,148,Star Wars: Republic Commando,"Chaos has erupted throughout the galaxy. As a leader of an elite squad of Republic Commandos, your mission is to infiltrate, dominate, and ultimately, annihalate the enemy. Your squad will follow your orders and your lead, working together as a team-instinctively, intelligently, instantly. You are their leader. They are your weapon.

Star Wars: Republic Commando is a tactical first-person shooter video game, set in the Star Wars universe. It was developed by LucasArts using the Unreal Engine, and published for the Xbox and Microsoft Windows in 2005. The game features both single-player and multiplayer game modes. In the story, set in the Star Wars Legends expanded universe, players assume the role of RC-1138 (""Boss""), an elite clone trooper, known as ""clone commando"", and the leader of the special ops unit Delta Squad, consisting of three fellow clone commandos with distinctive personalities and character traits: RC-1262 (""Scorch""), RC-1140 (""Fixer""), and RC-1207 (""Sev""). The story follows Delta Squad as they complete increasingly difficult missions throughout the Clone Wars and learn to bond as a team.

Republic Commando received generally favorable reviews at release. Many critics praised the story and combat, but criticized the short length and average multiplayer. In the years since its release, it has come to be considered one of the best Star Wars games ever made, and has gained a cult following.

An enhanced port of the game by Aspyr is set to release for the Nintendo Switch and PlayStation 4 on April 6, 2021. As reported by Jordan Ramée of GameSpot, ""Handled by Aspyr Media, Star Wars: Republic Commando Remastered brings the original 2005 Xbox and PC game to PS4 and Switch with enhanced HD graphics and modernized controls, though the multiplayer is absent. Otherwise, it's the same game. And though the flaws in its gameplay are only more noticeable now 16 years later, this remaster manages to still deliver a compelling story of four specialized commandos engaging in a variety of combat missions across the Clone Wars.""."
10,152,Star Wars: Jedi Knight II - Jedi Outcast,"In the tradition of the highly acclaimed Star Wars: Jedi Knight series, Star Wars: Jedi Knight 2, Jedi Outcast features rebel agent Kyle Katarn in exhilarating first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. Allowing his Force powers to languish for fear of falling to the dark side, Kyle entrusted his lightsaber to Luke Skywalker, vowing never to use it again. But when a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future.

Explore breathtaking Star Wars locales such as Cloud City, the Jedi Academy on Yavin 4, Nar Shaddaa, and the smugglers' moon. Multiplayer options include deathmatch, saber-only deathmatch, and team capture the flag."
11,153,Star Wars: Jedi Knight - Jedi Academy,"Star Wars: Jedi Knight: Jedi Academy, of the highly acclaimed Jedi Knight series, allows players to take on the role of a new student eager to learn the ways of the Force from Jedi Master Luke Skywalker. Interact with famous Star Wars characters in many classic Star Wars locations as you face the ultimate choice: fight for good and freedom on the light side, or follow the path of power and evil to the dark side."
12,154,Star Wars: Episode I - Racer,"Star Wars: Episode 1 - Racer lets you participate in the famous pod race sequence that was the critical highlight of the 1999 film Star Wars: Episode I, The Phantom Menace. These lightning-quick vehicles are capable of reaching simulated speeds of up to 600 miles per hour while skimming a mere 4 feet above the ground. You can race alone or against a friend in split-screen mode on more than 21 courses among eight worlds. Take the controls as Jedi-to-be Anakin Skywalker or any one of over 20 pod racers. Feel the full-force blast while avoiding hazards such as methane lakes, meteor showers, and the unfriendly Tusken Raiders."
13,280,DOOM 3,"A massive demonic invasion has overwhelmed the Union Aerospace Corporation's (UAC) Mars Research Facility, leaving only chaos and horror in its wake. As one of only a few survivors, you must fight your way to hell and back against a horde of evil monsters. The path is dark and dangerous, but you'll have an array of weapons--including a pistol, a chainsaw, grenades, and more--to use for protection."
14,342,Duke Nukem 3D,"Aliens have landed in futuristic Los Angeles and it's up to the Duke to bring the pain and show them the door. After the initial entries of side-scrolling platform games, Duke Nukem 3D introduces a first-person perspective to the series and turns the game into a full-fledged shooter with 2.5D graphics.

Duke's arsenal includes pistols, pipe bombs, laser trip mines, Nordenfelt guns, a chain gun and various rocket launchers, but also his mighty foot to kick enemies. The game sports a high level of interactivity. Many objects in the environment can be broken or interacted with, such as pool tables, arcade machines, glass, light switches and security cameras. The protagonist is also able to hand strippers a dollars to have them remove their top."
15,359,Final Fantasy XV,"Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before."
16,386,Final Fantasy XIV Online,"Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world. FINAL FANTASY XIV ONLINE is the 2013 relaunch of the massively multiplayer online role-playing game (MMORPG) that takes the wonder of the FINAL FANTASY legacy and expands it, allowing you to explore the realm of Eorzea like never before in a FINAL FANTASY game.

Forge friendships, mount chocobos, and board airships as you and your companions create your own unique stories in Eorzea. Adventure alone or join up with friends to undertake epic quests, battle familiar FINAL FANTASY monsters, and acquire unique abilities and equipment.

All the classic elements from the series that you have come to know and love are waiting! Embark of the adventure of a lifetime to help reforge the fate of Eorzea!"
17,427,Final Fantasy VII,"Final Fantasy VII is the seventh main installment in the Final Fantasy series, developed and published by Squaresoft. It was the first title in the series to feature three-dimensional graphics, pre-rendered backgrounds and numerous full motion videos.

The gameplay is a departure from previous entries in the series in many ways. Though it retains the Active Time Battle pseudo-turn based menu command system, FFVII features three party members rather than four. The Materia system allows the player to customize each party member's abilities to their liking, and the Limit system grants them unique combat skills.

Though minigames had been a recurring feature, FFVII introduces numerous new ones, many of them playable in the theme park Gold Saucer varying from racing with Chocobos to snowboarding."
18,493,Heavy Rain,"Heavy Rain is a cinematic psychological thriller from game developer Quantic Dream exclusively for the PlayStation 3. Dealing with a range of adult themes, the game revolves around a sophisticated plot and strong narrative threads that explore a complex moral proposition. You assume the role of multiple characters with very different backgrounds, motivations, and skills in a world where each player decision affects what will follow."
19,496,Dead Rising 2,"As Chuck Greene, you have 72 hours to save your infected daughter, clear your name and survive the hordes of hungry zombies before the military comes in and nukes the city. To ensure your survival, you can combine everyday objects to create numerous deadly combo weapons and slaughter the ravenous zombies. Dead Rising 2, it’s where Creativity Kills."
